0.0365635 | GEN____3_SM | PMIN : activation
0.994313 | GEN____3_SM | PMIN : deactivation
20.0065 | GEN____8_SM | PMIN : activation
20.0136 | GEN____6_SM | PMIN : activation
20.4346 | GEN____3_SM | PMIN : activation
20.487 | GEN____6_SM | PMIN : deactivation
20.7032 | GEN____8_SM | PMIN : deactivation
20.7633 | GEN____6_SM | PMIN : activation
20.9514 | GEN____8_SM | PMIN : activation
20.9514 | GEN____8_SM | PMIN : deactivation
80 | _BUS____5-BUS____6-1_PT | Tap +1
90 | _BUS____5-BUS____6-1_PT | Tap +1
