time;SM_gen_cePu;SM_gen_PePu;SM_gen_cmPu;SM_gen_PmPu;SM_gen_ufPu;SM_gen_efdPu;SM_gen_omegaPu;SM_gen_theta;SM_gen_PGenPu;SM_gen_QGenPu;SM_gen_PGen;SM_gen_QGen;SM_gen_UPu;SM_gen_IStatorPu;SM_gen_IRotorPu;SM_gen_UStatorPu;SM_gen_QStatorPu;SM_gen_thetaInternal;
0;0.902956;0.902956;0.903000;0.903000;0.001059;2.420747;1.000000;1.224004;19.979032;9.679013;1997.903200;967.901304;1.000014;22.199795;2.420682;1.000014;9.679013;0.729542;
1e-06;0.902956;0.902956;0.903000;0.903000;0.001059;2.420747;1.000000;1.224004;19.979030;9.679010;1997.902973;967.900952;1.000014;22.199792;2.420682;1.000014;9.679010;0.729542;
2e-06;0.902956;0.902956;0.903000;0.903000;0.001059;2.420747;1.000000;1.224004;19.979030;9.679010;1997.902974;967.900952;1.000014;22.199792;2.420682;1.000014;9.679010;0.729542;
4e-06;0.902956;0.902956;0.903000;0.903000;0.001059;2.420747;1.000000;1.224004;19.979030;9.679010;1997.902989;967.900975;1.000014;22.199792;2.420682;1.000014;9.679010;0.729542;
8e-06;0.902956;0.902956;0.903000;0.903000;0.001059;2.420747;1.000000;1.224004;19.979030;9.679010;1997.902977;967.900957;1.000014;22.199792;2.420682;1.000014;9.679010;0.729542;
1.6e-05;0.902956;0.902956;0.903000;0.903000;0.001059;2.420747;1.000000;1.224004;19.979030;9.679010;1997.902981;967.900963;1.000014;22.199792;2.420682;1.000014;9.679010;0.729542;
3.2e-05;0.902956;0.902956;0.903000;0.903000;0.001059;2.420747;1.000000;1.224004;19.979030;9.679010;1997.902989;967.900975;1.000014;22.199792;2.420682;1.000014;9.679010;0.729542;
6.4e-05;0.902956;0.902956;0.903000;0.903000;0.001059;2.420747;1.000000;1.224004;19.979030;9.679010;1997.903005;967.900999;1.000014;22.199792;2.420682;1.000014;9.679010;0.729542;
0.000128;0.902956;0.902956;0.903000;0.903000;0.001059;2.420747;1.000000;1.224004;19.979030;9.679010;1997.903038;967.901047;1.000014;22.199793;2.420682;1.000014;9.679010;0.729542;
0.000256;0.902956;0.902956;0.903000;0.903000;0.001059;2.420747;1.000000;1.224004;19.979031;9.679011;1997.903102;967.901144;1.000014;22.199794;2.420682;1.000014;9.679011;0.729542;
0.000512;0.902956;0.902956;0.903000;0.903000;0.001059;2.420747;1.000000;1.224004;19.979032;9.679013;1997.903230;967.901335;1.000014;22.199795;2.420682;1.000014;9.679013;0.729542;
0.001024;0.902956;0.902956;0.903000;0.903000;0.001059;2.420747;1.000000;1.224004;19.979035;9.679017;1997.903484;967.901713;1.000014;22.199798;2.420681;1.000014;9.679017;0.729542;
0.002048;0.902957;0.902957;0.903000;0.903000;0.001059;2.420747;1.000000;1.224004;19.979040;9.679025;1997.903983;967.902452;1.000014;22.199803;2.420679;1.000014;9.679025;0.729542;
0.004096;0.902957;0.902957;0.903000;0.903000;0.001059;2.420747;1.000000;1.224004;19.979049;9.679039;1997.904947;967.903861;1.000015;22.199814;2.420676;1.000015;9.679039;0.729542;
0.008192;0.902958;0.902958;0.903000;0.903000;0.001059;2.420747;1.000000;1.224004;19.979068;9.679064;1997.906753;967.906435;1.000015;22.199833;2.420671;1.000015;9.679064;0.729541;
0.016384;0.902959;0.902959;0.903000;0.903000;0.001059;2.420747;1.000000;1.224004;19.979100;9.679108;1997.910001;967.910784;1.000016;22.199869;2.420663;1.000016;9.679108;0.729541;
0.032768;0.902962;0.902962;0.903000;0.903000;0.001059;2.420747;1.000000;1.224005;19.979157;9.679173;1997.915685;967.917283;1.000016;22.199932;2.420653;1.000016;9.679173;0.729541;
0.065536;0.902967;0.902967;0.903000;0.903000;0.001059;2.420747;1.000000;1.224007;19.979265;9.679258;1997.926503;967.925838;1.000017;22.200053;2.420647;1.000017;9.679258;0.729541;
0.131072;0.902978;0.902978;0.903000;0.903000;0.001059;2.420747;1.000001;1.224017;19.979520;9.679376;1997.952017;967.937604;1.000017;22.200344;2.420658;1.000017;9.679376;0.729543;
0.262144;0.903002;0.903002;0.903000;0.903000;0.001059;2.420747;1.000001;1.224041;19.980043;9.679532;1998.004303;967.953196;1.000014;22.200943;2.420703;1.000014;9.679532;0.729552;
0.524288;0.903012;0.903012;0.903000;0.903000;0.001059;2.420747;1.000000;1.224052;19.980267;9.679624;1998.026744;967.962354;1.000013;22.201200;2.420725;1.000013;9.679624;0.729557;
1;0.903004;0.903004;0.903000;0.903000;0.001059;2.420747;1.000000;1.224042;19.980081;9.679640;1998.008137;967.964044;1.000016;22.200983;2.420716;1.000016;9.679640;0.729553;
1;0.025331;0.025331;0.903000;0.903000;0.001059;2.420747;1.000000;1.224042;0.000000;28.089156;0.000000;2808.915575;0.435433;64.508576;3.718828;0.435433;28.089156;0.509441;
1;0.025331;0.025331;0.903000;0.903000;0.001059;2.420747;1.000000;1.224042;-0.000000;28.088741;-0.000000;2808.874077;0.435430;64.508100;3.718857;0.435430;28.088741;0.509435;
1;0.025330;0.025330;0.903000;0.903000;0.001059;2.420747;1.000000;1.224042;-0.000000;28.088326;-0.000000;2808.832579;0.435426;64.507623;3.718886;0.435426;28.088326;0.509429;
1;0.025329;0.025329;0.903000;0.903000;0.001059;2.420747;1.000000;1.224042;0.000000;28.087496;0.000000;2808.749590;0.435420;64.506670;3.718943;0.435420;28.087496;0.509417;
