time;Test_svarc_UPu;Test_svarc_BPu;Test_svarc_GPu;Test_svarc_PInjPu;Test_svarc_QInjPu;Test_svarcControl_modeHandling_mode;Test_svarcControl_modeHandling_URefPu;
0;1.000000;0.000000;0.000000;-0.000000;0.000000;3.000000;1.000000;
2.51997e-17;1.000000;0.000000;0.000000;0.000000;0.000000;3.000000;1.000000;
2.51997e-17;1.000000;0.000000;0.000000;0.000000;0.000000;3.000000;1.000000;
5.0618e-05;1.000000;0.000000;0.000000;0.000000;0.000000;3.000000;1.000000;
0.000101236;1.000000;0.000000;0.000000;0.000000;0.000000;3.000000;1.000000;
0.000202472;1.000000;0.000000;0.000000;0.000000;0.000000;3.000000;1.000000;
0.000404944;1.000000;0.000000;0.000000;0.000000;0.000000;3.000000;1.000000;
0.000809888;1.000000;0.000000;0.000000;0.000000;0.000000;3.000000;1.000000;
0.00161978;1.000000;0.000000;0.000000;0.000000;0.000000;3.000000;1.000000;
0.00323955;1.000000;0.000000;0.000000;0.000000;0.000000;3.000000;1.000000;
0.00647911;1.000000;0.000000;0.000000;0.000000;0.000000;3.000000;1.000000;
0.0129582;1.000000;0.000000;0.000000;0.000000;0.000000;3.000000;1.000000;
0.0259164;1.000000;0.000000;0.000000;0.000000;0.000000;3.000000;1.000000;
0.0518328;1.000000;0.000000;0.000000;0.000000;0.000000;3.000000;1.000000;
0.103666;1.000000;0.000000;0.000000;0.000000;0.000000;3.000000;1.000000;
0.207331;1.000000;0.000000;0.000000;0.000000;0.000000;3.000000;1.000000;
0.414663;1.000000;0.000000;0.000000;0.000000;0.000000;3.000000;1.000000;
0.829326;1.000000;0.000000;0.000000;0.000000;0.000000;3.000000;1.000000;
1;1.000000;0.000000;0.000000;0.000000;0.000000;3.000000;1.000000;
1;1.002366;0.034147;0.000000;0.000000;0.085772;3.000000;1.022222;
1.00005;1.002383;0.034391;0.000000;0.000000;0.086389;3.000000;1.022222;
1.0001;1.002400;0.034635;0.000000;0.000000;0.087005;3.000000;1.022222;
1.0002;1.002434;0.035123;0.000000;0.000000;0.088234;3.000000;1.022222;
1.00039;1.002502;0.036094;0.000000;0.000000;0.090687;3.000000;1.022222;
1.00078;1.002636;0.038026;0.000000;0.000000;0.095566;3.000000;1.022222;
1.00157;1.002901;0.041843;0.000000;0.000000;0.105215;3.000000;1.022222;
1.00313;1.003420;0.049297;0.000000;0.000000;0.124087;3.000000;1.022222;
1.00626;1.004411;0.063516;0.000000;0.000000;0.160195;3.000000;1.022222;
1.01252;1.006220;0.089417;0.000000;0.000000;0.226333;3.000000;1.022222;
1.01878;1.007818;0.112204;0.000000;0.000000;0.284910;3.000000;1.022222;
1.02504;1.009226;0.132226;0.000000;0.000000;0.336682;3.000000;1.022222;
1.03131;1.010465;0.149805;0.000000;0.000000;0.382378;3.000000;1.022222;
1.03757;1.011555;0.165232;0.000000;0.000000;0.422667;3.000000;1.022222;
1.04383;1.012514;0.178768;0.000000;0.000000;0.458159;3.000000;1.022222;
1.05009;1.013356;0.190640;0.000000;0.000000;0.489400;3.000000;1.022222;
1.05635;1.014095;0.201052;0.000000;0.000000;0.516883;3.000000;1.022222;
1.06261;1.014745;0.210181;0.000000;0.000000;0.541046;3.000000;1.022222;
1.06887;1.015315;0.218184;0.000000;0.000000;0.562281;3.000000;1.022222;
1.07513;1.015815;0.225199;0.000000;0.000000;0.580932;3.000000;1.022222;
1.0814;1.016254;0.231347;0.000000;0.000000;0.597310;3.000000;1.022222;
1.08766;1.016639;0.236735;0.000000;0.000000;0.611686;3.000000;1.022222;
1.10018;1.017279;0.245690;0.000000;0.000000;0.635634;3.000000;1.022222;
1.11145;1.017727;0.251950;0.000000;0.000000;0.652405;3.000000;1.022222;
1.12272;1.018081;0.256885;0.000000;0.000000;0.665643;3.000000;1.022222;
1.13399;1.018359;0.260761;0.000000;0.000000;0.676055;3.000000;1.022222;
1.14526;1.018577;0.263802;0.000000;0.000000;0.684233;3.000000;1.022222;
1.15653;1.018748;0.266186;0.000000;0.000000;0.690649;3.000000;1.022222;
1.1678;1.018882;0.268055;0.000000;0.000000;0.695680;3.000000;1.022222;
1.17907;1.018987;0.269518;0.000000;0.000000;0.699623;3.000000;1.022222;
1.20161;1.019139;0.271633;0.000000;0.000000;0.705324;3.000000;1.022222;
1.22415;1.019232;0.272931;0.000000;0.000000;0.708825;3.000000;1.022222;
1.24669;1.019288;0.273711;0.000000;0.000000;0.710927;3.000000;1.022222;
1.26923;1.019321;0.274171;0.000000;0.000000;0.712170;3.000000;1.022222;
1.29177;1.019340;0.274441;0.000000;0.000000;0.712897;3.000000;1.022222;
1.31431;1.019352;0.274597;0.000000;0.000000;0.713318;3.000000;1.022222;
1.35939;1.019364;0.274765;0.000000;0.000000;0.713772;3.000000;1.022222;
1.40447;1.019365;0.274785;0.000000;0.000000;0.713828;3.000000;1.022222;
1.49463;1.019366;0.274799;0.000000;0.000000;0.713865;3.000000;1.022222;
1.67495;1.019367;0.274805;0.000000;0.000000;0.713880;3.000000;1.022222;
2.0356;1.019367;0.274806;0.000000;0.000000;0.713884;3.000000;1.022222;
2.75688;1.019367;0.274806;0.000000;0.000000;0.713884;3.000000;1.022222;
3;1.019367;0.274806;0.000000;0.000000;0.713884;3.000000;1.022222;
