time;SVarC_injector_UPu;SVarC_injector_BPu;SVarC_injector_GPu;SVarC_injector_PInjPu;SVarC_injector_QInjPu;SVarC_control_regulation_IPu;SVarC_control_regulation_IMaxPu;SVarC_control_modeHandling_mode;SVarC_control_modeHandling_URefPu;
0;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;2.0000;1.0000;
1e-06;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;2.0000;1.0000;
2e-06;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;2.0000;1.0000;
4e-06;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;2.0000;1.0000;
8e-06;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;2.0000;1.0000;
1.30838e-05;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;2.0000;1.0000;
1.30838e-05;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;2.0000;1.0000;
1.33488e-05;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;2.0000;1.0000;
1.33488e-05;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;2.0000;1.0000;
1.43488e-05;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;2.0000;1.0000;
1.53488e-05;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;2.0000;1.0000;
1.73488e-05;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;2.0000;1.0000;
2.13488e-05;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;2.0000;1.0000;
2.93488e-05;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;2.0000;1.0000;
4.53488e-05;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;2.0000;1.0000;
7.73488e-05;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;2.0000;1.0000;
0.000141349;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;2.0000;1.0000;
0.000269349;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;2.0000;1.0000;
0.000525349;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;2.0000;1.0000;
0.00103735;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;2.0000;1.0000;
0.00206135;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;2.0000;1.0000;
